8108,ㄅㄛˋ,捭
8643,ㄅㄛˋ,蘗
14576,ㄅㄛˋ,譒
456,ㄅㄛˊ,白
903,ㄅㄛˊ,博
1237,ㄅㄛˊ,伯
1883,ㄅㄛˊ,柏
2128,ㄅㄛˊ,薄
2354,ㄅㄛˊ,泊
2642,ㄅㄛˊ,駁
2711,ㄅㄛˊ,勃
3198,ㄅㄛˊ,簿
3286,ㄅㄛˊ,蔔
3437,ㄅㄛˊ,搏
3586,ㄅㄛˊ,脖
4334,ㄅㄛˊ,箔
4758,ㄅㄛˊ,悖
5116,ㄅㄛˊ,舶
5399,ㄅㄛˊ,膊
5408,ㄅㄛˊ,帛
5464,ㄅㄛˊ,渤
5674,ㄅㄛˊ,雹
5710,ㄅㄛˊ,礡
6203,ㄅㄛˊ,鉑
6361,ㄅㄛˊ,鈸
7149,ㄅㄛˊ,犮
7476,ㄅㄛˊ,孛
8316,ㄅㄛˊ,菔
8474,ㄅㄛˊ,襮
8597,ㄅㄛˊ,桲
8690,ㄅㄛˊ,糪
9214,ㄅㄛˊ,瓟
9237,ㄅㄛˊ,猼
9353,ㄅㄛˊ,謈
9667,ㄅㄛˊ,髆
9929,ㄅㄛˊ,鵓
10013,ㄅㄛˊ,豰
10124,ㄅㄛˊ,荸
10323,ㄅㄛˊ,鸔
10454,ㄅㄛˊ,葧
10846,ㄅㄛˊ,浡
11046,ㄅㄛˊ,挬
12003,ㄅㄛˊ,郣
12126,ㄅㄛˊ,軷
12160,ㄅㄛˊ,鑮
12785,ㄅㄛˊ,彴
12858,ㄅㄛˊ,欂
12933,ㄅㄛˊ,踣
13199,ㄅㄛˊ,駮
13242,ㄅㄛˊ,僰
13253,ㄅㄛˊ,鎛
13505,ㄅㄛˊ,踄
13848,ㄅㄛˊ,鋍
14127,ㄅㄛˊ,馞
14326,ㄅㄛˊ,誖
14850,ㄅㄛˊ,襏
14923,ㄅㄛˊ,懪
14954,ㄅㄛˊ,濼
15496,ㄅㄛˊ,餺
15566,ㄅㄛˊ,簙
15587,ㄅㄛˊ,瓝
4392,ㄅㄛˇ,跛
6030,ㄅㄛˇ,簸
12314,ㄅㄛˇ,蚾
3287,ㄅㄛ˙,蔔
5306,ㄅㄛ˙,啵
2760,ㄅㄞ,掰
873,ㄅㄞˋ,敗
939,ㄅㄞˋ,拜
4823,ㄅㄞˋ,唄
6435,ㄅㄞˋ,稗
8252,ㄅㄞˋ,粺
15498,ㄅㄞˋ,庍
455,ㄅㄞˊ,白
640,ㄅㄞˇ,百
1604,ㄅㄞˇ,擺
1882,ㄅㄞˇ,柏
3393,ㄅㄞˇ,佰
6898,ㄅㄞˇ,襬
7354,ㄅㄞˇ,粨
8107,ㄅㄞˇ,捭
12757,ㄅㄞˇ,絔
